Clapeyron Estimator
[method=my_saturation_p]
T,out_p
360.86,1333.50855562295
363.369387755102,1544.6273601905
365.878775510204,1784.46946736426
368.388163265306,2056.28072933338
370.897551020408,2363.59417200198
373.40693877551,2710.24747673582
375.916326530612,3100.40089990681
378.425714285714,3538.55560247084
380.935102040817,4029.57236005461
383.444489795919,4578.69062239903
385.953877551021,5191.54788951693
388.463265306123,5874.19937057558
390.972653061225,6633.13789031372
393.482040816327,7475.31400675196
395.991428571429,8408.15630305459
398.500816326531,9439.59181565234
401.010204081633,10578.0665601378
403.519591836735,11832.5661159985
406.028979591837,13212.6362309515
408.538367346939,14728.4034054913
411.047755102041,16390.5954182482
413.557142857143,18210.561752881
416.066530612246,20200.2938874834
418.575918367348,22372.4454078718
421.08530612245,24740.3519066278
423.594693877552,27318.0506303898
426.104081632654,30120.2998386275
428.613469387756,33162.59783796
431.122857142858,36461.2016570174
433.63224489796,40033.1453278633
436.141632653062,43896.2577410982
438.651020408164,48069.1800429445
441.160408163266,52571.3825438572
443.669795918368,57423.1811095119
446.17918367347,62645.7530063838
448.688571428572,68261.1521755367
451.197959183674,74292.3239096899
453.707346938777,80763.1189101113
456.216734693879,87698.3067013957
458.726122448981,95123.5883837122
461.235510204083,103065.608703656
463.744897959185,111551.967426384
466.254285714287,120611.229993283
468.763673469389,130272.937450964
471.273061224491,140567.615638939
473.782448979593,151526.783624853
476.291836734695,163182.961377706
478.801224489797,175569.676670968
481.310612244899,188721.47120898
483.82,202673.905971505
