Clapeyron Estimator
[method=my_saturation_p]
T,out_p
382.75,3119.74
388.85,4226.32
390.75,4679.62
393.85,5412.89
398.55,6719.45
402.65,8039.34
405.75,9452.56
407.55,10079.17
408.95,10705.79
412.05,12119
412.15,12225.66
414.35,13238.91
414.45,13385.57
420.35,16878.61
424.95,20051.68
426.85,21704.88
432.55,26664.47
439.05,33157.27
444.05,40330.02
447.75,45516.26
450.25,49515.93
452.75,53768.91
454.95,57861.91
457.45,62821.5
459.45,66967.83
461.65,71860.76
463.05,74433.88
465.15,79953.42
466.65,83899.77
468.55,88739.37
470.05,92712.38
472.15,98951.86
472.85,101325
