Clapeyron Estimator
[method=my_saturation_p]
T,out_p
235.75,346.63816
241.37,546.6217
244.92,733.27303
249.89,1093.24342
254.58,1546.5395
255.17,1613.201
259.84,2213.1513
263.89,2893.0954
267.85,3719.6941
270.61,4386.3059
273.22,5132.911
277.11,6412.8059
281.5,8199.326
285.6,10159.1245
289.43,12358.9302
293.52,15198.75
295.89,16998.602
299.03,19705.05
304.43,25260.589
309.02,30877.461
313.89,37756.895
318.33,45076.293
323.07,54128.882
328.53,65674.599
333.17,78046.914
338.04,92179.086
342.11,105484.258
347.01,123243.331
