Clapeyron Estimator
[method=my_saturation_p]
T,out_p
273.15,466.62
283.15,845.2488
293.15,1573.176
303.15,2653.068
313.15,4532.88
323.15,7492.584
333.15,11772.156
343.15,18278.172
353.15,26943.972
363.15,39036.096
373.15,55527.78
383.15,77672.232
403.15,138652.8
413.15,184114.92
423.15,249975
433.15,321167.88
443.15,407692.56
453.15,511015.56
463.15,631003.56
473.15,777655.56
483.15,949905
493.15,1151618.16
503.15,1386794.64
513.15,1666633.32
523.15,1981935.12
533.15,2343632.28
543.15,2753191.32
553.15,3216078.36
573.15,4271972.76
583.15,4925240.76
593.15,5673165.96
594.75,5786088
